manufacturer_code,manufacturer_name
1,宝沃汽车
2,北京奔驰
3,北京汽车
4,北京现代
5,北汽昌河
6,北汽新能源
7,北汽银翔
8,北汽制造
9,比速汽车
10,比亚迪
11,大乘汽车
12,电咖汽车
13,东风本田
14,东风标致
15,东风乘用车
16,东风风行
17,东风雷诺
18,东风启辰
19,东风日产
20,东风雪铁龙
21,东风英菲尼迪
22,东风小康
23,东风裕隆
24,起亚汽车
25,东南汽车
26,福建戴姆勒
27,福汽新龙马
28,福田汽车
29,观致汽车
30,广汽本田
31,广汽传祺
32,广汽菲克
33,广汽丰田
34,广汽三菱
35,广汽埃安
36,海马汽车
37,汉腾汽车
38,华晨宝马
39,华晨鑫源
40,华晨中华
41,华泰汽车
42,吉利汽车
43,江汽集团
44,江铃福特
45,江铃汽车
46,开瑞汽车
47,凯翼汽车
48,康迪电动车
49,力帆汽车
50,猎豹汽车
51,领途汽车
52,陆风汽车
53,奇瑞捷豹路虎
54,奇瑞汽车
55,上汽大通
56,上汽大众
57,上汽乘用车
58,上汽斯柯达
59,上汽通用别克
60,上汽通用凯迪拉克
61,上汽通用五菱
62,上汽通用雪佛兰
63,斯威汽车
64,腾势汽车
65,天津一汽
66,中国重汽VGV
67,蔚来汽车
68,沃尔沃亚太
69,野马汽车
70,一汽奔腾
71,一汽大众
72,一汽大众奥迪
73,一汽丰田
74,一汽海马
75,一汽红旗
76,一汽吉林
77,一汽马自达
78,云度新能源
79,云雀汽车
80,长安标致雪铁龙
81,长安福特
82,长安铃木
83,长安马自达
84,长安汽车
85,长城汽车
86,郑州日产
87,知豆电动车
88,众泰汽车
89,广汽讴歌
90,华晨金杯
91,小鹏汽车
92,广汽菲亚特
93,华晨华颂
94,东风汽车
95,合众新能源
96,新特汽车
97,威马汽车
98,华晨雷诺
99,一汽大众捷达
100,雷丁
101,江淮大众
102,国机智骏
103,理想汽车
104,特斯拉中国
105,长安林肯
106,合创汽车
107,北京越野
108,爱驰汽车
109,零跑汽车
110,瑞驰新能源
111,赛力斯
112,吉麦新能源
113,江淮汽车
114,睿蓝汽车
115,长安凯程
116,御捷新能源
117,创维汽车
118,大运汽车
119,岚图汽车
120,金康新能源
121,雷诺 江铃集团
122,小虎汽车
123,领克汽车
124,极氪汽车
125,奇瑞新能源
126,几何汽车
127,华晨新日
128,电动屋
129,上汽奥迪
130,吉利银河
131,神龙汽车
132,天际汽车
133,国金汽车
134,智己汽车
135,飞凡汽车
136,阿维塔科技
137,福特新能源
138,smart
139,进口DS
140,赛力斯蓝电汽车
141,曹操汽车
142,长安启源
143,华人运通
144,极石汽车
145,方程豹
146,仰望
147,智界汽车
148,深蓝汽车
149,极越
150,星途
151,Polestar
152,小米汽车
153,远航汽车
154,LEVC
155,二一二越野车
