month_year_code,month,year
16,1,2019
17,2,2019
18,3,2019
19,4,2019
20,5,2019
21,6,2019
22,7,2019
23,8,2019
24,9,2019
25,10,2019
26,11,2019
27,12,2019
28,1,2020
29,2,2020
30,3,2020
31,4,2020
32,5,2020
33,6,2020
34,7,2020
35,8,2020
36,9,2020
37,10,2020
38,11,2020
39,12,2020
40,1,2021
41,2,2021
42,3,2021
43,4,2021
44,5,2021
45,6,2021
46,7,2021
47,8,2021
48,9,2021
49,10,2021
50,11,2021
51,12,2021
52,1,2022
53,2,2022
54,3,2022
55,4,2022
56,5,2022
57,6,2022
58,7,2022
59,8,2022
60,9,2022
61,10,2022
62,11,2022
63,12,2022
64,1,2023
65,2,2023
66,3,2023
67,4,2023
68,5,2023
69,6,2023
70,7,2023
71,8,2023
72,9,2023
73,10,2023
74,11,2023
75,12,2023
76,1,2024
77,2,2024
78,3,2024
79,4,2024
80,5,2024
81,6,2024
82,7,2024
83,8,2024
84,9,2024
85,10,2024
86,11,2024
